ticker,name,industry
3IN,3I INFRASTRUCTURE PLC,Financial Services 
888,888 HOLDINGS PLC,Travel and Leisure
AAF,AIRTEL AFRICA PLC,Telecommunications
AGR,ASSURA PLC,Real Estate 
AGT,AVI GLOBAL TRUST PLC,Financial Services 
AJB,AJ BELL PLC,Financial Services 
AML,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Automobiles and Parts
AO,AO WORLD PLC,Retail 
APAX,APAX GLOBAL ALPHA LIMITED,Financial Services 
ASCL,ASCENTIAL PLC,Technology
ASHM,ASHMORE GROUP PLC,Financial Services 
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,Financial Services 
ATG,AUCTION TECHNOLOGY GROUP PLC,Technology
ATST,ALLIANCE TRUST PLC,Financial Services 
ATT,ALLIANZ TECHNOLOGY TRUST PLC,Financial Services 
AVON,AVON PROTECTION PLC,Industrial Goods and Services
BAB,BABCOCK INTERNATIONAL GROUP PLC,Industrial Goods and Services
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A. ,Financial Services 
BBH,BB HEALTHCARE TRUST PLC,Financial Services 
BBOX,TRITAX BIG BOX REIT PLC,Real Estate 
BBY,BALFOUR BEATTY PLC,Construction and Materials
BEZ,BEAZLEY PLC,Insurance
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC,Financial Services 
BGS,BAILLIE GIFFORD SHIN NIPPON PLC,Financial Services 
BGSC,BMO GLOBAL SMALLER COMPANIES PLC,Financial Services 
BIFF,BIFFA PLC,Utilities
BNKR,BANKERS INVESTMENT TRUST PLC,Financial Services 
BOY,BODYCOTE PLC,Basic Resources
BRSC,BLACKROCK SMALLER CO TRUST PLC,Financial Services 
BRW,BREWIN DOLPHIN HOLDINGS PLC,Financial Services 
BRWM,BLACKROCK WORLD MINING TRUST PLC,Financial Services 
BVIC,BRITVIC PLC,"Food, Beverage and Tobacco "
BWY,BELLWAY PLC,Consumer Products and Services
BYG,BIG YELLOW GROUP PLC,Real Estate 
BYIT,BYTES TECHNOLOGY GROUP PLC,Technology
CAPC,CAPITAL & COUNTIES PROPERTIES PLC,Real Estate 
CBG,CLOSE BROTHERS GROUP PLC,Banks
CCC,COMPUTACENTER PLC,Technology
CCL,CARNIVAL PLC,Travel and Leisure
CCR,C&C GROUP PLC,"Food, Beverage and Tobacco "
CEY,CENTAMIN PLC,Basic Resources
CHG,CHEMRING GROUP PLC,Industrial Goods and Services
CHRY,CHRYSALIS INVESTMENTS LIMITED,Financial Services 
